Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
692;1;893;1;codiceUnita;codice Unità;537;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL
693;1;894;1;codiceUnita;codice Unità;537;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL
694;1;895;1;codiceUnita;codice Unità;537;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL
695;1;896;1;codiceUnita;codice Unità;537;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL
696;1;901;1;codiceUnita;Sede Inail;10;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;NULL;NULL;NULL;NULL
698;1;898;1;codiceUnita;Sede Inail;10;NULL;NULL;NULL;NULL;NULL;1;0;1;1;1;NULL;NULL;NULL;NULL
699;1;899;1;codiceUnita;Sede Inail;10;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;NULL;NULL;NULL;NULL
700;1;902;1;codiceUnita;codice Unita;10;NULL;NULL;NULL;NULL;NULL;1;0;1;1;1;NULL;NULL;NULL;NULL
704;1;905;1;codiceUnita;Codice Unità;537;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;NULL;NULL;NULL;NULL
705;1;906;1;codiceUnita;Codice Unità;537;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;NULL;NULL;NULL;NULL
706;1;907;1;appID;Applicazione;554;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
707;3;907;1;Servizio;Servizio;19;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL;NULL;NULL
708;2;915;1;EntePA;P.A. in Gestione Conto Stato;70;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;28;NULL;NULL
